,Pclass,Sex,Age,Embarked,Fare,Survived
856,1,2,45,3,164.8667,1
857,1,1,51,3,26.55,1
858,3,2,24,1,19.2583,1
859,3,1,29,1,7.2292,0
860,3,1,41,3,14.1083,0
861,2,1,21,3,11.5,0
862,1,2,48,3,25.9292,1
863,3,2,27,3,69.55,0
864,2,1,24,3,13.0,0
865,2,2,42,3,13.0,1
866,2,2,27,1,13.8583,1
867,1,1,31,3,50.4958,0
868,3,1,29,3,9.5,0
869,3,1,4,3,11.1333,1
870,3,1,26,3,7.8958,0
871,1,2,47,3,52.5542,1
872,1,1,33,3,5.0,0
873,3,1,47,3,9.0,0
874,2,2,28,1,24.0,1
875,3,2,15,1,7.225,1
876,3,1,20,3,9.8458,0
877,3,1,19,3,7.8958,0
878,3,1,29,3,7.8958,0
879,1,2,56,1,83.1583,1
880,2,2,25,3,26.0,1
881,3,1,33,3,7.8958,0
882,3,2,22,3,10.5167,0
883,2,1,28,3,10.5,0
884,3,1,25,3,7.05,0
885,3,2,39,2,29.125,0
886,2,1,27,3,13.0,0
887,1,2,19,3,30.0,1
888,3,2,27,3,23.45,0
889,1,1,26,1,30.0,1
890,3,1,32,2,7.75,0
